subject,supertype
catalhoyuk#LeftPrimaryLowerCentralIncisorTooth,catalhoyuk#PrimaryLowerCentralIncisorTooth
catalhoyuk#LeftPrimaryLowerLateralIncisorTooth,catalhoyuk#PrimaryLowerLateralIncisorTooth
catalhoyuk#LeftPrimarySecondLowerMolarTooth,catalhoyuk#PrimarySecondMandibularMolarTooth
catalhoyuk#LeftPrimarySecondUpperMolarTooth,catalhoyuk#PrimarySecondUpperMolarTooth
catalhoyuk#LeftPrimaryUpperCanineTooth,catalhoyuk#PrimaryUpperCanineTooth
catalhoyuk#LeftPrimaryUpperCentralIncisorTooth,catalhoyuk#PrimaryUpperCentralIncisorTooth
catalhoyuk#LeftPrimaryUpperLateralIncisorTooth,catalhoyuk#PrimaryUpperLateralIncisorTooth
catalhoyuk#LeftRadius,catalhoyuk#Radius
catalhoyuk#LeftScaphoid,catalhoyuk#Scaphoid
catalhoyuk#LeftScapula,catalhoyuk#Scapula
catalhoyuk#LeftSecondLowerMolarTooth,catalhoyuk#SecondarySecondMandibularMolarTooth
catalhoyuk#LeftSecondLowerPremolarTooth,catalhoyuk#SecondMandibularPremolarTooth
catalhoyuk#LeftSecondMetacarpalBone,catalhoyuk#SecondMetacarpalBone
catalhoyuk#LeftSecondMetatarsalBone,catalhoyuk#SecondMetatarsalBone
catalhoyuk#LeftSecondRib,catalhoyuk#SecondRib
catalhoyuk#LeftSecondUpperMolarTooth,catalhoyuk#SecondarySecondUpperMolarTooth
catalhoyuk#LeftSecondUpperPremolarTooth,catalhoyuk#SecondMaxillaryPremolarTooth
catalhoyuk#LeftSeventhRib,catalhoyuk#SeventhRib
catalhoyuk#LeftSixthRib,catalhoyuk#SixthRib
catalhoyuk#LeftStapes,catalhoyuk#Stapes
catalhoyuk#LeftTalus,catalhoyuk#Talus
catalhoyuk#LeftTemporalBone,catalhoyuk#TemporalBone
catalhoyuk#LeftTenthRib,catalhoyuk#TenthRib
catalhoyuk#LeftThirdLowerMolarTooth,catalhoyuk#ThirdMandibularMolarTooth
catalhoyuk#LeftThirdMetacarpalBone,catalhoyuk#ThirdMetacarpalBone
catalhoyuk#LeftThirdMetatarsalBone,catalhoyuk#ThirdMetatarsalBone
catalhoyuk#LeftThirdRib,catalhoyuk#ThirdRib
catalhoyuk#LeftThirdUpperMolarTooth,catalhoyuk#ThirdMaxillaryMolarTooth
catalhoyuk#LeftTibia,catalhoyuk#Tibia
catalhoyuk#LeftTrapezium,catalhoyuk#Trapezium
catalhoyuk#LeftTrapezoid,catalhoyuk#Trapezoid
catalhoyuk#LeftTriquetral,catalhoyuk#Triquetral
catalhoyuk#LeftTwelfthRib,catalhoyuk#TwelfthRib
catalhoyuk#LeftUlna,catalhoyuk#Ulna
catalhoyuk#LeftUpperCanineTooth,catalhoyuk#SecondaryUpperCanineTooth
catalhoyuk#LeftUpperCentralIncisorTooth,catalhoyuk#SecondaryUpperCentralIncisorTooth
catalhoyuk#LeftUpperLateralIncisorTooth,catalhoyuk#SecondaryUpperLateralIncisorTooth
catalhoyuk#LeftZygomaticBone,catalhoyuk#ZygomaticBone
catalhoyuk#Leithiinae,catalhoyuk#Gliridae
catalhoyuk#Lepidosauriformes,catalhoyuk#Lepidosauromorpha
catalhoyuk#Lepidosauromorpha,catalhoyuk#Neodiapsida
catalhoyuk#Leporidae,catalhoyuk#Lagomorpha
catalhoyuk#Lepus,catalhoyuk#Leporidae
catalhoyuk#LesserMetatarsalBone,catalhoyuk#MetatarsalBone
catalhoyuk#Level,catalhoyuk#SequentialStep
catalhoyuk#Life,rdf-schema#Resource
catalhoyuk#Lipotyphla,catalhoyuk#Laurasiatheria
catalhoyuk#Lissamphibia,catalhoyuk#Batrachomorpha
catalhoyuk#Location,catalhoyuk#SpatialEntity
catalhoyuk#LongBone,catalhoyuk#BoneOrgan
catalhoyuk#LowerCentralIncisorTooth,catalhoyuk#CentralIncisorTooth
catalhoyuk#LowerLateralIncisorTooth,catalhoyuk#LateralIncisorTooth
catalhoyuk#LumbarRib,catalhoyuk#VariantRib
catalhoyuk#LumbarVertebra,catalhoyuk#Vertebra
catalhoyuk#Lunate,catalhoyuk#ProximalCarpalBone
catalhoyuk#Lutra,catalhoyuk#Mustelidae
catalhoyuk#Lynx,catalhoyuk#Felidae
catalhoyuk#LynxLynx,catalhoyuk#Lynx
catalhoyuk#Malleus,catalhoyuk#AuditoryOssicle
catalhoyuk#Mammalia,catalhoyuk#Cynodontia
catalhoyuk#Mandible,catalhoyuk#IrregularBone
catalhoyuk#MandibularCanineTooth,catalhoyuk#CanineTooth
catalhoyuk#MandibularIncisorTooth,catalhoyuk#IncisorTooth
catalhoyuk#MandibularMolarTooth,catalhoyuk#MolarTooth
catalhoyuk#MandibularPremolarTooth,catalhoyuk#PremolarTooth
catalhoyuk#MandibularSecondaryMolarTooth,catalhoyuk#SecondaryMolarTooth
catalhoyuk#MandibularTooth,catalhoyuk#Tooth
catalhoyuk#Maniraptora,catalhoyuk#Maniraptoriformes
catalhoyuk#Maniraptoriformes,catalhoyuk#Coelurosauria
catalhoyuk#Marmotini,catalhoyuk#Xerinae
catalhoyuk#Martes,catalhoyuk#Mustelidae
catalhoyuk#MartesFoina,catalhoyuk#Martes
catalhoyuk#MaterialAnatomicalEntity,catalhoyuk#PhysicalAnatomicalEntity
catalhoyuk#Mauremys,catalhoyuk#Geoemydidae
catalhoyuk#MauremysCaspica,catalhoyuk#Mauremys
catalhoyuk#Maxilla,catalhoyuk#PneumatizedBone
catalhoyuk#MaxillaryCanineTooth,catalhoyuk#CanineTooth
catalhoyuk#MaxillaryIncisorTooth,catalhoyuk#IncisorTooth
catalhoyuk#MaxillaryMolarTooth,catalhoyuk#MolarTooth
catalhoyuk#MaxillaryPremolarTooth,catalhoyuk#PremolarTooth
catalhoyuk#MaxillarySecondaryMolarTooth,catalhoyuk#SecondaryMolarTooth
catalhoyuk#MaxillaryTooth,catalhoyuk#Tooth
catalhoyuk#Measurement,rdf-schema#Resource
catalhoyuk#MedialCuneiformBone,catalhoyuk#CuneiformBone
catalhoyuk#Meles,catalhoyuk#Mustelidae
catalhoyuk#MelesMeles,catalhoyuk#Meles
catalhoyuk#MellaartLevel,catalhoyuk#Level
catalhoyuk#Meriones,catalhoyuk#Gerbillinae
catalhoyuk#MerionesLibycus,catalhoyuk#Meriones
catalhoyuk#MerionesPersicus,catalhoyuk#Meriones
catalhoyuk#MerionesTristrami,catalhoyuk#Meriones
catalhoyuk#Mesocricetus,catalhoyuk#Cricetinae
catalhoyuk#MesocricetusAuratus,catalhoyuk#Mesocricetus
catalhoyuk#MesocricetusBrandti,catalhoyuk#Mesocricetus
catalhoyuk#MesocricetusNewtoni,catalhoyuk#Mesocricetus
catalhoyuk#MetacarpalBone,catalhoyuk#LongBone
catalhoyuk#MetatarsalBone,catalhoyuk#LongBone
catalhoyuk#Metazoa,catalhoyuk#Opisthokonta
catalhoyuk#Microchiroptera,catalhoyuk#Chiroptera
catalhoyuk#Micromyni,catalhoyuk#Murinae
catalhoyuk#Micromys,catalhoyuk#Micromyni
catalhoyuk#MicromysMinutus,catalhoyuk#Micromys
catalhoyuk#Microtus,catalhoyuk#Arvicolinae
catalhoyuk#MicrotusArvalis,catalhoyuk#Microtus
catalhoyuk#MicrotusGuentheri,catalhoyuk#Microtus
catalhoyuk#MicrotusMajori,catalhoyuk#Microtus
catalhoyuk#MicrotusNivalis,catalhoyuk#Microtus
catalhoyuk#MicrotusSubterraneus,catalhoyuk#Microtus
catalhoyuk#MicrotusTranscaspicus,catalhoyuk#Microtus
catalhoyuk#MiddenLayer,catalhoyuk#Layer
catalhoyuk#MiddlePhalanx,catalhoyuk#Phalanx
catalhoyuk#MiddlePhalanxOfFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#MiddlePhalanxOfFourthToe,catalhoyuk#PhalanxOfFourthToe
catalhoyuk#MiddlePhalanxOfIndexFinger,catalhoyuk#PhalanxOfIndexFinger
catalhoyuk#MiddlePhalanxOfLeftFinger,catalhoyuk#MiddlePhalanxOfFinger
catalhoyuk#MiddlePhalanxOfLeftFourthToe,catalhoyuk#MiddlePhalanxOfFourthToe
catalhoyuk#MiddlePhalanxOfLeftIndexFinger,catalhoyuk#MiddlePhalanxOfIndexFinger
catalhoyuk#MiddlePhalanxOfLeftLittleFinger,catalhoyuk#MiddlePhalanxOfLittleFinger
catalhoyuk#MiddlePhalanxOfLeftLittleToe,catalhoyuk#MiddlePhalanxOfLittleToe
catalhoyuk#MiddlePhalanxOfLeftMiddleFinger,catalhoyuk#MiddlePhalanxOfMiddleFinger
catalhoyuk#MiddlePhalanxOfLeftRingFinger,catalhoyuk#MiddlePhalanxOfRingFinger
catalhoyuk#MiddlePhalanxOfLeftSecondToe,catalhoyuk#MiddlePhalanxOfSecondToe
catalhoyuk#MiddlePhalanxOfLeftThirdToe,catalhoyuk#MiddlePhalanxOfThirdToe
catalhoyuk#MiddlePhalanxOfLesserLeftToe,catalhoyuk#MiddlePhalanxOfLesserToe
catalhoyuk#MiddlePhalanxOfLesserRightToe,catalhoyuk#MiddlePhalanxOfLesserToe
catalhoyuk#MiddlePhalanxOfLesserToe,catalhoyuk#MiddlePhalanxOfToe
catalhoyuk#MiddlePhalanxOfLittleFinger,catalhoyuk#PhalanxOfLittleFinger
catalhoyuk#MiddlePhalanxOfLittleToe,catalhoyuk#PhalanxOfLittleToe
catalhoyuk#MiddlePhalanxOfMiddleFinger,catalhoyuk#PhalanxOfMiddleFinger
catalhoyuk#MiddlePhalanxOfRightFinger,catalhoyuk#MiddlePhalanxOfFinger
catalhoyuk#MiddlePhalanxOfRightFourthToe,catalhoyuk#MiddlePhalanxOfFourthToe
catalhoyuk#MiddlePhalanxOfRightIndexFinger,catalhoyuk#MiddlePhalanxOfIndexFinger
catalhoyuk#MiddlePhalanxOfRightLittleFinger,catalhoyuk#MiddlePhalanxOfLittleFinger
catalhoyuk#MiddlePhalanxOfRightLittleToe,catalhoyuk#MiddlePhalanxOfLittleToe
catalhoyuk#MiddlePhalanxOfRightMiddleFinger,catalhoyuk#MiddlePhalanxOfMiddleFinger
catalhoyuk#MiddlePhalanxOfRightRingFinger,catalhoyuk#MiddlePhalanxOfRingFinger
catalhoyuk#MiddlePhalanxOfRightSecondToe,catalhoyuk#MiddlePhalanxOfSecondToe
catalhoyuk#MiddlePhalanxOfRightThirdToe,catalhoyuk#MiddlePhalanxOfThirdToe
catalhoyuk#MiddlePhalanxOfRingFinger,catalhoyuk#PhalanxOfRingFinger
catalhoyuk#MiddlePhalanxOfSecondToe,catalhoyuk#PhalanxOfSecondToe
catalhoyuk#MiddlePhalanxOfThirdToe,catalhoyuk#PhalanxOfThirdToe
catalhoyuk#MiddlePhalanxOfToe,catalhoyuk#PhalanxOfToe
catalhoyuk#Modification,rdf-schema#Resource
catalhoyuk#ModificationEvent,catalhoyuk#Event
catalhoyuk#MolarTooth,catalhoyuk#Tooth
catalhoyuk#MoldingPlasterCurtainWall,catalhoyuk#Feature
catalhoyuk#Mollusca,catalhoyuk#Spiralia
catalhoyuk#MouldingBin,catalhoyuk#Feature
catalhoyuk#Mound,catalhoyuk#SpatialEntity
catalhoyuk#Mouse,catalhoyuk#Rodentia
catalhoyuk#MovingImage,catalhoyuk#Documentation
catalhoyuk#MudBrickPavement,catalhoyuk#Pavement
catalhoyuk#MulticellularAnatomicalStructure,catalhoyuk#AnatomicalStructure
catalhoyuk#Murex,catalhoyuk#Muricinae
catalhoyuk#Muricidae,catalhoyuk#Muricoidea
catalhoyuk#Muricinae,catalhoyuk#Muricidae
catalhoyuk#Muricoidea,catalhoyuk#Neogastropoda
catalhoyuk#Muridae,catalhoyuk#Eumuroidea
catalhoyuk#Murinae,catalhoyuk#Muridae
catalhoyuk#Murini,catalhoyuk#Murinae
catalhoyuk#Muroidea,catalhoyuk#Myomorpha
catalhoyuk#Mus,catalhoyuk#Murini
catalhoyuk#MusMacedonicus,catalhoyuk#Mus
catalhoyuk#MusMusculus,catalhoyuk#Mus
catalhoyuk#Muscardinus,catalhoyuk#Leithiinae
catalhoyuk#MuscardinusAvellanarius,catalhoyuk#Muscardinus
catalhoyuk#Mustela,catalhoyuk#Mustelidae
catalhoyuk#Mustelidae,catalhoyuk#Caniformia
catalhoyuk#Myodes,catalhoyuk#Arvicolinae
catalhoyuk#MyodesGlareolus,catalhoyuk#Myodes
catalhoyuk#Myomimus,catalhoyuk#Leithiinae
catalhoyuk#MyomimusPersonatus,catalhoyuk#Myomimus
catalhoyuk#Myomorpha,catalhoyuk#Mouse
catalhoyuk#Mytilida,catalhoyuk#Pteriomorphia
catalhoyuk#Mytilidae,catalhoyuk#Mytiloidea
catalhoyuk#Mytiloidea,catalhoyuk#Mytilida
catalhoyuk#NasalBone,catalhoyuk#FlatBone
catalhoyuk#Natrix,catalhoyuk#Colubridae
catalhoyuk#NatrixTessellata,catalhoyuk#Natrix
catalhoyuk#NaturalLayer,catalhoyuk#Layer
catalhoyuk#NavicularBoneOfFoot,catalhoyuk#TarsalBone
catalhoyuk#NavicularBoneOfLeftFoot,catalhoyuk#NavicularBoneOfFoot
catalhoyuk#NavicularBoneOfRightFoot,catalhoyuk#NavicularBoneOfFoot
catalhoyuk#Neobatrachia,catalhoyuk#Anura
catalhoyuk#Neodiapsida,catalhoyuk#Diapsida
catalhoyuk#Neogastropoda,catalhoyuk#Caenogastropoda
catalhoyuk#Neomys,catalhoyuk#Soricidae
catalhoyuk#NeomysAnomalus,catalhoyuk#Neomys
catalhoyuk#NeomysFodiens,catalhoyuk#Neomys
catalhoyuk#Neopterygii,catalhoyuk#Actinopteri
catalhoyuk#Niche,catalhoyuk#Feature
catalhoyuk#NicheBin,catalhoyuk#Feature
catalhoyuk#NicheRecess,catalhoyuk#Feature
catalhoyuk#NinthRib,catalhoyuk#FalseRib
catalhoyuk#NinthThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#OccipitalBasilar,catalhoyuk#OccipitalBone
catalhoyuk#OccipitalBone,catalhoyuk#FlatBone
catalhoyuk#OccipitalLeftLateral,catalhoyuk#OccipitalBone
catalhoyuk#OccipitalRightLateral,catalhoyuk#OccipitalBone
catalhoyuk#OccipitalSquamous,catalhoyuk#OccipitalBone
catalhoyuk#Opening,catalhoyuk#Feature
catalhoyuk#OpeningInTheWall,catalhoyuk#Opening
catalhoyuk#Opisthokonta,catalhoyuk#Eukaryota
catalhoyuk#Organ,catalhoyuk#PostnatalAnatomicalStructure
catalhoyuk#OrganWithCavitatedOrganParts,catalhoyuk#CavitatedOrgan
catalhoyuk#OrganWithOrganCavity,catalhoyuk#CavitatedOrgan
catalhoyuk#Ornithodira,catalhoyuk#Avemetatarsalia
catalhoyuk#Oryctolagus,catalhoyuk#Leporidae
catalhoyuk#Ostariophysi,catalhoyuk#Otomorpha
catalhoyuk#Osteichthyes,catalhoyuk#Gnathostomata
catalhoyuk#Osteoglossocephalai,catalhoyuk#Teleostei
catalhoyuk#Ostrea,catalhoyuk#Ostreinae
catalhoyuk#Ostreida,catalhoyuk#Pteriomorphia
catalhoyuk#Ostreidae,catalhoyuk#Ostreoidea
catalhoyuk#Ostreinae,catalhoyuk#Ostreidae
catalhoyuk#Ostreoidea,catalhoyuk#Ostreida
catalhoyuk#Otomorpha,catalhoyuk#Clupeocephala
catalhoyuk#Otophysa,catalhoyuk#Ostariophysi
catalhoyuk#Oven,catalhoyuk#FireInstallation
catalhoyuk#Ovis,catalhoyuk#Bovidae
catalhoyuk#PalatineBone,catalhoyuk#IrregularBone
catalhoyuk#Panthera,catalhoyuk#Felidae
catalhoyuk#PantheraPardus,catalhoyuk#Panthera
catalhoyuk#Paraves,catalhoyuk#Maniraptora
catalhoyuk#ParietalBone,catalhoyuk#FlatBone
catalhoyuk#PartAddition,catalhoyuk#Modification
catalhoyuk#PartRemoval,catalhoyuk#Modification
catalhoyuk#Partition,catalhoyuk#Feature
catalhoyuk#PartitionWall,catalhoyuk#Wall
catalhoyuk#Patella,catalhoyuk#SesamoidBone
catalhoyuk#Patellidae,catalhoyuk#Patelloidea
catalhoyuk#Patellogastropoda,catalhoyuk#Gastropoda
catalhoyuk#Patelloidea,catalhoyuk#Patellogastropoda
catalhoyuk#Pavement,catalhoyuk#Feature
catalhoyuk#Pectinida,catalhoyuk#Pteriomorphia
catalhoyuk#Pectinoidea,catalhoyuk#Pectinida
catalhoyuk#Perissodactyla,catalhoyuk#Scrotifera
catalhoyuk#Person,rdf-schema#Resource
catalhoyuk#Phalanx,catalhoyuk#LongBone
catalhoyuk#PhalanxOfBigToe,catalhoyuk#PhalanxOfToe
catalhoyuk#PhalanxOfFinger,catalhoyuk#Phalanx
catalhoyuk#PhalanxOfFourthToe,catalhoyuk#PhalanxOfToe
catalhoyuk#PhalanxOfIndexFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#PhalanxOfLittleFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#PhalanxOfLittleToe,catalhoyuk#PhalanxOfToe
catalhoyuk#PhalanxOfMiddleFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#PhalanxOfRingFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#PhalanxOfSecondToe,catalhoyuk#PhalanxOfToe
catalhoyuk#PhalanxOfThirdToe,catalhoyuk#PhalanxOfToe
catalhoyuk#PhalanxOfThumb,catalhoyuk#PhalanxOfFinger
catalhoyuk#PhalanxOfToe,catalhoyuk#Phalanx
catalhoyuk#Phase,catalhoyuk#SequentialStep
catalhoyuk#PhotographicPicture,catalhoyuk#Image
catalhoyuk#PhysicalAnatomicalEntity,catalhoyuk#AnatomicalEntity
catalhoyuk#PhysicalThing,rdf-schema#Resource
catalhoyuk#Pillar,catalhoyuk#Feature
catalhoyuk#PillarBase,catalhoyuk#Base
catalhoyuk#Pisiform,catalhoyuk#ProximalCarpalBone
catalhoyuk#Pit,catalhoyuk#Feature
catalhoyuk#PitBin,catalhoyuk#Feature
catalhoyuk#PitGrave,catalhoyuk#Feature
catalhoyuk#PitScoop,catalhoyuk#Pit
catalhoyuk#Placentalia,catalhoyuk#Eutheria
catalhoyuk#PlasterAmorphMass,catalhoyuk#Feature
catalhoyuk#PlasterCollapse,catalhoyuk#Feature
catalhoyuk#PlasterLinedPit,catalhoyuk#Pit
catalhoyuk#PlasterShelf,catalhoyuk#Shelf
catalhoyuk#PlasteredCluster,catalhoyuk#Feature
catalhoyuk#Platform,catalhoyuk#Feature
catalhoyuk#PneumatizedBone,catalhoyuk#IrregularBone
catalhoyuk#Podium,catalhoyuk#Feature
catalhoyuk#PodiumPedestal,catalhoyuk#Feature
catalhoyuk#Point,catalhoyuk#GeometricPrimitive
catalhoyuk#PointInTime,catalhoyuk#TimeFrame
catalhoyuk#Post,catalhoyuk#Feature
catalhoyuk#PostBase,catalhoyuk#Base
catalhoyuk#PostHole,catalhoyuk#Feature
catalhoyuk#PostPad,catalhoyuk#Pillar
catalhoyuk#PostPillar,catalhoyuk#Feature
catalhoyuk#PostPit,catalhoyuk#Pit
catalhoyuk#PostRetrievalPit,catalhoyuk#Pit
catalhoyuk#PostScar,catalhoyuk#Post
catalhoyuk#PostnatalAnatomicalStructure,catalhoyuk#MulticellularAnatomicalStructure
catalhoyuk#PotInPit,catalhoyuk#Feature
catalhoyuk#PreinterparietalBone,catalhoyuk#SuturalBone
catalhoyuk#PremolarTooth,catalhoyuk#Tooth
catalhoyuk#PrimaryCanineTooth,catalhoyuk#CanineTooth
catalhoyuk#PrimaryFirstMandibularMolarTooth,catalhoyuk#FirstMandibularMolarTooth
catalhoyuk#PrimaryFirstMolarTooth,catalhoyuk#PrimaryMolarTooth
catalhoyuk#PrimaryFirstUpperMolarTooth,catalhoyuk#FirstMaxillaryMolarTooth
catalhoyuk#PrimaryIncisorTooth,catalhoyuk#IncisorTooth
catalhoyuk#PrimaryLowerCanineTooth,catalhoyuk#MaxillaryCanineTooth
catalhoyuk#PrimaryLowerCentralIncisorTooth,catalhoyuk#LowerCentralIncisorTooth
catalhoyuk#PrimaryLowerIncisorTooth,catalhoyuk#PrimaryIncisorTooth
catalhoyuk#PrimaryLowerLateralIncisorTooth,catalhoyuk#LowerLateralIncisorTooth
catalhoyuk#PrimaryMandibularMolarTooth,catalhoyuk#PrimaryMolarTooth
catalhoyuk#PrimaryMaxillaryMolarTooth,catalhoyuk#PrimaryMolarTooth
catalhoyuk#PrimaryMolarTooth,catalhoyuk#MolarTooth
catalhoyuk#PrimarySecondMandibularMolarTooth,catalhoyuk#SecondMandibularMolarTooth
catalhoyuk#PrimarySecondMolarTooth,catalhoyuk#PrimaryMolarTooth
catalhoyuk#PrimarySecondUpperMolarTooth,catalhoyuk#SecondMaxillaryMolarTooth
catalhoyuk#PrimaryUpperCanineTooth,catalhoyuk#MandibularCanineTooth
catalhoyuk#PrimaryUpperCentralIncisorTooth,catalhoyuk#UpperCentralIncisorTooth
catalhoyuk#PrimaryUpperIncisorTooth,catalhoyuk#PrimaryIncisorTooth
catalhoyuk#PrimaryUpperLateralIncisorTooth,catalhoyuk#UpperLateralIncisorTooth
catalhoyuk#Primates,catalhoyuk#Euarchonta
catalhoyuk#Protostomia,catalhoyuk#Bilateria
catalhoyuk#ProximalCarpalBone,catalhoyuk#CarpalBone
catalhoyuk#ProximalOfLeftClavicle,catalhoyuk#LeftClavicle
catalhoyuk#ProximalOfLeftFemur,catalhoyuk#LeftFemur
catalhoyuk#ProximalOfLeftFibula,catalhoyuk#LeftFibula
catalhoyuk#ProximalOfLeftHumerus,catalhoyuk#LeftHumerus
catalhoyuk#ProximalOfLeftRadius,catalhoyuk#LeftRadius
catalhoyuk#ProximalOfLeftTibia,catalhoyuk#LeftTibia
catalhoyuk#ProximalOfLeftUlna,catalhoyuk#LeftUlna
catalhoyuk#ProximalOfRightClavicle,catalhoyuk#RightClavicle
catalhoyuk#ProximalOfRightFemur,catalhoyuk#RightFemur
catalhoyuk#ProximalOfRightFibula,catalhoyuk#RightFibula
catalhoyuk#ProximalOfRightHumerus,catalhoyuk#RightHumerus
catalhoyuk#ProximalOfRightRadius,catalhoyuk#RightRadius
catalhoyuk#ProximalOfRightTibia,catalhoyuk#RightTibia
catalhoyuk#ProximalOfRightUlna,catalhoyuk#RightUlna
catalhoyuk#ProximalPhalanx,catalhoyuk#Phalanx
catalhoyuk#ProximalPhalanxOfBigToe,catalhoyuk#PhalanxOfBigToe
catalhoyuk#ProximalPhalanxOfFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#ProximalPhalanxOfFourthToe,catalhoyuk#PhalanxOfFourthToe
catalhoyuk#ProximalPhalanxOfIndexFinger,catalhoyuk#PhalanxOfIndexFinger
catalhoyuk#ProximalPhalanxOfLeftBigToe,catalhoyuk#ProximalPhalanxOfBigToe
catalhoyuk#ProximalPhalanxOfLeftFinger,catalhoyuk#ProximalPhalanxOfFinger
catalhoyuk#ProximalPhalanxOfLeftFourthToe,catalhoyuk#ProximalPhalanxOfFourthToe
catalhoyuk#ProximalPhalanxOfLeftIndexFinger,catalhoyuk#ProximalPhalanxOfIndexFinger
catalhoyuk#ProximalPhalanxOfLeftLittleFinger,catalhoyuk#ProximalPhalanxOfLittleFinger
catalhoyuk#ProximalPhalanxOfLeftLittleToe,catalhoyuk#ProximalPhalanxOfLittleToe
catalhoyuk#ProximalPhalanxOfLeftMiddleFinger,catalhoyuk#ProximalPhalanxOfMiddleFinger
catalhoyuk#ProximalPhalanxOfLeftRingFinger,catalhoyuk#ProximalPhalanxOfRingFinger
catalhoyuk#ProximalPhalanxOfLeftSecondToe,catalhoyuk#ProximalPhalanxOfSecondToe
catalhoyuk#ProximalPhalanxOfLeftThirdToe,catalhoyuk#ProximalPhalanxOfThirdToe
catalhoyuk#ProximalPhalanxOfLeftThumb,catalhoyuk#ProximalPhalanxOfThumb
catalhoyuk#ProximalPhalanxOfLesserLeftToe,catalhoyuk#ProximalPhalanxOfLesserToe
catalhoyuk#ProximalPhalanxOfLesserRightToe,catalhoyuk#ProximalPhalanxOfLesserToe
catalhoyuk#ProximalPhalanxOfLesserToe,catalhoyuk#ProximalPhalanxOfToe
catalhoyuk#ProximalPhalanxOfLittleFinger,catalhoyuk#PhalanxOfLittleFinger
catalhoyuk#ProximalPhalanxOfLittleToe,catalhoyuk#PhalanxOfLittleToe
catalhoyuk#ProximalPhalanxOfMiddleFinger,catalhoyuk#PhalanxOfMiddleFinger
catalhoyuk#ProximalPhalanxOfRightBigToe,catalhoyuk#ProximalPhalanxOfBigToe
catalhoyuk#ProximalPhalanxOfRightFinger,catalhoyuk#ProximalPhalanxOfFinger
catalhoyuk#ProximalPhalanxOfRightFourthToe,catalhoyuk#ProximalPhalanxOfFourthToe
catalhoyuk#ProximalPhalanxOfRightIndexFinger,catalhoyuk#ProximalPhalanxOfIndexFinger
catalhoyuk#ProximalPhalanxOfRightLittleFinger,catalhoyuk#ProximalPhalanxOfLittleFinger
catalhoyuk#ProximalPhalanxOfRightLittleToe,catalhoyuk#ProximalPhalanxOfLittleToe
catalhoyuk#ProximalPhalanxOfRightMiddleFinger,catalhoyuk#ProximalPhalanxOfMiddleFinger
catalhoyuk#ProximalPhalanxOfRightRingFinger,catalhoyuk#ProximalPhalanxOfRingFinger
catalhoyuk#ProximalPhalanxOfRightSecondToe,catalhoyuk#ProximalPhalanxOfSecondToe
catalhoyuk#ProximalPhalanxOfRightThirdToe,catalhoyuk#ProximalPhalanxOfThirdToe
catalhoyuk#ProximalPhalanxOfRightThumb,catalhoyuk#ProximalPhalanxOfThumb
catalhoyuk#ProximalPhalanxOfRingFinger,catalhoyuk#PhalanxOfRingFinger
catalhoyuk#ProximalPhalanxOfSecondToe,catalhoyuk#PhalanxOfSecondToe
catalhoyuk#ProximalPhalanxOfThirdToe,catalhoyuk#PhalanxOfThirdToe
catalhoyuk#ProximalPhalanxOfThumb,catalhoyuk#PhalanxOfThumb
catalhoyuk#ProximalPhalanxOfToe,catalhoyuk#PhalanxOfToe
catalhoyuk#Pteriomorphia,catalhoyuk#Bivalvia
catalhoyuk#PubisLeftHipbone,catalhoyuk#LeftHipBone
catalhoyuk#PubisRightHipbone,catalhoyuk#RightHipBone
catalhoyuk#Puddled,catalhoyuk#LadderEmplacement
catalhoyuk#Radius,catalhoyuk#LongBone
catalhoyuk#Ranidae,catalhoyuk#Ranoidea
catalhoyuk#Ranoidea,catalhoyuk#Neobatrachia
catalhoyuk#Rattini,catalhoyuk#Murinae
catalhoyuk#Rattus,catalhoyuk#Rattini
catalhoyuk#RattusNorvegicus,catalhoyuk#Rattus
catalhoyuk#RattusRattus,catalhoyuk#Rattus
catalhoyuk#Recess,catalhoyuk#NicheRecess
catalhoyuk#RecognitionEvent,catalhoyuk#Event
catalhoyuk#RedFireInstallation,catalhoyuk#FireInstallation
catalhoyuk#RedepositedHearth,catalhoyuk#Hearth
catalhoyuk#ReftLowerCentralIncisorTooth,catalhoyuk#SecondaryLowerCentralIncisorTooth
catalhoyuk#ReftPrimaryLowerCentralIncisorTooth,catalhoyuk#PrimaryLowerCentralIncisorTooth
catalhoyuk#ReftPrimaryUpperCentralIncisorTooth,catalhoyuk#PrimaryUpperCentralIncisorTooth
catalhoyuk#ReftUpperCentralIncisorTooth,catalhoyuk#SecondaryUpperCentralIncisorTooth
catalhoyuk#Reptilia,catalhoyuk#Amniota
catalhoyuk#Reptiliomorpha,catalhoyuk#Tetrapoda
catalhoyuk#Rhinolophidae,catalhoyuk#Microchiroptera
catalhoyuk#Rhinolophus,catalhoyuk#Rhinolophidae
catalhoyuk#RhinolophusBlasii,catalhoyuk#Rhinolophus
catalhoyuk#RhinolophusEuryale,catalhoyuk#Rhinolophus
